PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
3663/17,23-02-2018,RETENTION & PERMISSI,16-08-2017,1-5  D'olier Street,Decision Notices Iss,11-01-2018,06-12-2017,Retention Permission,GRANT PERMISSION AND
5954/07,06-02-2008,change of use of par,02-11-2007,Block B  Ulster Bank,Decision Notices Iss,20-12-2007,02-11-2007,Permission,GRANT PERMISSION
4805/07,06-12-2007,PROTECTED STRUCTURE,15-08-2007,No's 1-5 D'Olier Str,Decision Notices Iss,24-10-2007,17-10-2007,Permission,GRANT PERMISSION
2174/15,NULL,RETENTION: Retention,05-02-2015,44-45 Moore Mall  Il,Appeal Decided,01-04-2015,05-02-2015,Retention Permission,SPLIT DECISION(PERMI
2828/14,NULL,Erection of fascia s,09-06-2014,Units 44-45 Moore Ma,Decision Notices Iss,25-06-2014,09-06-2014,Permission,APPLICATION DECLARED
3043/14,12-01-2015,Erection of fascia s,11-07-2014,Units 44-45 Moore Ma,Appeal Decided,21-08-2014,11-07-2014,Permission,SPLIT DECISION(PERMI
1053/08,08-04-2008,PRO STRUCT: Demoliti,07-01-2008,27  Nassau Street (b,Decision Notices Iss,27-02-2008,07-01-2008,Permission,GRANT PERMISSION
2985/12,NULL,PROTECTED STRUCTURE:,27-07-2012,The Armoury  Foster,Decision Notices Iss,21-08-2012,27-07-2012,Permission,APPLICATION DECLARED
2233/12,NULL,RETENTION: PROTECTED,28-02-2012,The Armoury  Foster,Decision Notices Iss,23-04-2012,28-02-2012,Retention Permission,REFUSE RETENTION PER
3178/11,NULL,RETENTION - PROTECTE,22-08-2011,The Armoury  Foster,Decision Notices Iss,14-10-2011,22-08-2011,Retention Permission,REFUSE RETENTION PER
2799/11,NULL,PROTECTED STRUCTURE:,03-06-2011,The Armoury  Foster,Decision Notices Iss,08-06-2011,03-06-2011,Permission,APPLICATION DECLARED
3126/12,15-11-2012,Prot. Struct. - Cut-,23-08-2012,The Armoury  Foster,Decision Notices Iss,04-10-2012,23-08-2012,Permission,GRANT PERMISSION
2675/04,NULL,Protected Structure,04-05-2005,Clarence Hotel 6/8 W,Decision Notices Iss,23-06-2004,04-05-2004,Permission,REFUSE PERMISSION
6000/04,30-05-2005,PROTECTED STRUCTURE,22-12-2004,Clarence Hotel  6-8,Appeal Decided,24-02-2005,22-12-2004,Permission,GRANT PERMISSION
4068/16,17-02-2017,Change of use from w,04-11-2016,111  Middle Abbey St,Decision Notices Iss,06-01-2017,04-11-2016,Permission,GRANT PERMISSION
3502/15,02-12-2015,Proposed new shopfro,27-08-2015,34  Talbot Street  D,Decision Notices Iss,21-10-2015,27-08-2015,Permission,GRANT PERMISSION
3765/10,19-04-2011,PROTECTED STRUCTURE-,13-10-2010,27  Nassau Street (b,Decision Notices Iss,14-03-2011,15-02-2011,Permission,GRANT PERMISSION
2880/10,30-11-2010,PROTECTED STRUCTURE-,27-05-2010,1  Dawson Street & 2,Appeal Decided,08-07-2010,27-05-2010,Permission,REFUSE PERMISSION
2812/10,NULL,PROTECTED STRUCTURE,14-05-2010,27  Nassau Street (b,Appeal Decided,08-07-2010,14-05-2010,Permission,REFUSE PERMISSION
4796/07,15-11-2007,PRO STRUCT: Change o,14-08-2007,15-17  Eden Quay  Du,Decision Notices Iss,03-10-2007,14-08-2007,Permission,GRANT PERMISSION
4350/04,26-11-2004,PROTECTED STRUCTURE,27-08-2004,114-115  Grafton Str,Decision Appealed,21-10-2004,27-08-2004,Permission,GRANT PERMISSION
3796/05,10-10-2005,PROTECTED STRUCTURE:,13-07-2005,114-115  Grafton Str,Decision Appealed,30-08-2005,13-07-2005,Permission,GRANT PERMISSION
4659/08,30-06-2009,5 storey building co,08-10-2008,29-31  Lombard Stree,Appeal Decided,28-11-2008,08-10-2008,Permission,REFUSE PERMISSION
2568/03,NULL,Planning permission,06-06-2003,197-200 Parnell Stre,Decision Notices Iss,30-07-2003,06-06-2003,Permission,ADDITIONAL INFORMATI
4711/07,NULL,construction of a su,08-08-2007,29 - 31  Lombard Str,Decision Notices Iss,02-10-2007,08-08-2007,Permission,REFUSE PERMISSION
4346/08,04-12-2008,Change of use of a p,05-09-2008,195-200 Parnell Stre,Decision Notices Iss,28-10-2008,05-09-2008,Permission,GRANT PERMISSION
2031/11,NULL,PROTECTED STRUCTURE-,14-01-2011,Abbey Street Methodi,Decision Notices Iss,10-03-2011,14-01-2011,Permission,REFUSE PERMISSION
5985/04,08-07-2005,construction of new,21-12-2004,33 & 34  Gardiner St,Decision Notices Iss,02-06-2005,09-05-2005,Permission,GRANT PERMISSION
6911/06,25-06-2007,material change of u,22-12-2006,33 & 34  Gardiner St,Decision Notices Iss,10-05-2007,13-04-2007,Permission,GRANT PERMISSION
3966/09,05-01-2010,Replace existing Hab,24-09-2009,6-10  Suffolk Street,Decision Notices Iss,12-11-2009,24-09-2009,Permission,GRANT PERMISSION
3931/09,13-07-2010,PROTECTED STRUCTURE-,18-09-2009,The North Star Hotel,Decision Notices Iss,02-06-2010,06-05-2010,Permission,GRANT PERMISSION
2533/15,12-08-2015,PROTECTED STRUCTURE:,02-04-2015,The North Star Hotel,Decision Notices Iss,08-07-2015,11-06-2015,Permission,GRANT PERMISSION
3807/16,18-07-2017,PROTECTED STRUCTURE:,27-09-2016,The North Star Hotel,Decision Notices Iss,06-06-2017,11-05-2017,Permission,GRANT PERMISSION
4939/05,11-04-2006,PROTECTED STRUCTURE,26-09-2005,The North Star Hotel,Registered applicati,03-03-2006,09-02-2006,Permission,GRANT PERMISSION
2323/18,20-11-2018,PROTECTED STRUCTURE:,16-02-2018,The North Star Hotel,Appeal Decided,12-04-2018,16-02-2018,Permission,REFUSE PERMISSION
3729/13,NULL,PROTECTED STRUCTURE:,19-12-2013,42/43  Westland Row,Decision Notices Iss,12-02-2014,19-12-2013,Permission,REFUSE PERMISSION
2762/18,28-03-2019,Permission for devel,18-04-2018,Dublin Central Missi,Decision Notices Iss,21-02-2019,25-01-2019,Permission,GRANT PERMISSION
3805/11,12-04-2012,PROTECTED STRUCTURE:,23-12-2011,The Dublin Central M,Decision Notices Iss,24-02-2012,23-12-2011,Permission,GRANT PERMISSION
5943/06,NULL,PROTECTED STRUCTURE-,07-11-2006,42 / 43  Westland Ro,Decision Notices Iss,21-11-2006,07-11-2006,Permission,APPLICATION DECLARED
2952/05,NULL,protected structure2,20-05-2005,42/43  Westland Row,Decision Notices Iss,01-06-2005,20-05-2005,Permission,APPLICATION DECLARED
2148/16,NULL,PROTECTED STRUCTURE:,01-02-2016,42/43  Westland Row,Appeal Decided,06-09-2016,18-08-2016,Permission,GRANT PERMISSION
3352/17,19-10-2017,PROTECTED STRUCTURE:,07-07-2017,42/43  Westland Row,Decision Notices Iss,31-08-2017,07-07-2017,Permission,GRANT PERMISSION
6628/06,28-03-2007,PROTECTED STRUCTURE,18-12-2006,42 / 43  Westland Ro,Decision Notices Iss,20-02-2007,18-12-2006,Permission,GRANT PERMISSION
4511/05,NULL,1. Demolition of exi,26-08-2005,42/43  Westland Row,Decision Notices Iss,08-09-2005,26-08-2005,Permission,APPLICATION DECLARED
5059/05,NULL,1. Demolition of exi,07-10-2005,42 / 43  Westland Ro,Registered applicati,29-11-2005,07-10-2005,Permission,APPLICATION WITHDRAW
3568/15,16-02-2016,PROTECTED STRUCTURE:,08-09-2015,The North Star Hotel,Decision Notices Iss,15-01-2016,10-12-2015,Permission,GRANT PERMISSION
2638/19,NULL,PROTECTED STRUCTURE:,29-03-2019,The North Star Hotel,Decision Notices Iss,11-04-2019,29-03-2019,Permission,APPLICATION DECLARED
2757/19,NULL,PROTECTED STRUCTURE:,15-04-2019,The North Star Hotel,Decision Notices Iss,07-06-2019,15-04-2019,Permission,REFUSE PERMISSION
2414/07,NULL,PROTECTED STRUCTURE,30-03-2007,61 - 62  Gardiner St,Decision Notices Iss,11-04-2007,30-03-2007,Permission,APPLICATION DECLARED
2815/07,30-07-2007,PROTECTED STRUCTURE,24-04-2007,61 - 62  Gardiner St,Decision Notices Iss,14-06-2007,24-04-2007,Permission,GRANT PERMISSION
3160/10,11-11-2010,Alterations to exist,08-07-2010,Pravda  35  Liffey S,Decision Notices Iss,01-10-2010,07-09-2010,Permission,SPLIT DECISION(PERMI
3446/17,NULL,Alterations to the a,18-07-2017,37  Strand Street Gr,Decision Notices Iss,07-01-2019,18-07-2017,Permission,WITHDRAWN ARTICLE 33
4136/17,16-03-2018,RETENTION & PERMISSI,25-10-2017,37  Strand Street Gr,Decision Notices Iss,06-02-2018,10-01-2018,Retention Permission,GRANT PERMISSION AND
2429/11,NULL,PROTECTED STRUCTURE,28-03-2011,Fitzsimons Hotel  20,Appeal Decided,12-05-2011,28-03-2011,Permission,REFUSE PERMISSION
2226/09,07-05-2009,PROTECTED STRUCTURE,04-02-2009,Fitzsimons Hotel  20,Decision Notices Iss,25-03-2009,04-02-2009,Permission,SPLIT DECISION(PERMI
5992/06,12-09-2007,PROTECTED STRUCTURE,09-11-2006,Fitzsimons Hotel  20,Decision Notices Iss,01-08-2007,11-07-2007,Permission,GRANT PERMISSION
1803/08,NULL,PRO STRUCT: Partial,06-03-2008,Fitzsimons Hotel  20,Appeal Decided,28-04-2008,06-03-2008,Permission,REFUSE PERMISSION
1627/08,NULL,PROTECTED STRUCTURE,25-02-2008,Fitzsimons Hotel 20-,Decision Notices Iss,29-02-2008,25-02-2008,Permission,APPLICATION DECLARED
2441/09,NULL,RETENTION - Shop fro,02-03-2009,43/44  Mary Street,Decision Notices Iss,21-04-2009,02-03-2009,Retention Permission,REFUSE RETENTION PER
2064/09,NULL,RETENTION - Shop fro,15-01-2009,43/44  Mary Street,Decision Notices Iss,05-02-2009,15-01-2009,Retention Permission,APPLICATION DECLARED
3344/08,NULL,For Shop Front Signa,24-06-2008,43/44  Mary Street,Decision Notices Iss,07-08-2008,24-06-2008,Permission,REFUSE PERMISSION
2562/08,NULL,Shopfront signage an,29-04-2008,43/44  Mary Street,NULL,05-06-2008,29-04-2008,Permission,APPLICATION DECLARED
6484/06,09-03-2007,Demolition of storag,08-12-2006,Cumberland Street So,Decision Notices Iss,30-01-2007,08-12-2006,Permission,GRANT PERMISSION
3702/18,NULL,Removal of existing,10-08-2018,McDonald's Restauran,Decision Notices Iss,04-10-2018,10-08-2018,Permission,REFUSE PERMISSION
3622/08,19-01-2009,Construct an 8-store,14-07-2008,31-32A  Gloucester S,Decision Notices Iss,27-11-2008,04-11-2008,Permission,GRANT PERMISSION
3050/06,NULL,Application for inte,19-05-2006,Trinity Capital Hote,Decision Notices Iss,13-07-2006,19-05-2006,Permission,REFUSE PERMISSION
5756/05,NULL,Demolition of existi,22-11-2005,31 - 32A  Gloucester,Decision Notices Iss,25-01-2006,22-11-2005,Permission,REFUSE PERMISSION
1155/03,17-06-2003,Extension of existin,18-03-2003,39/40  Drury Street,Decision Appealed,09-05-2003,18-03-2003,Permission,GRANT PERMISSION
1312/05,28-04-2005,change of use from t,31-01-2005,11-17  Exchequer Str,Decision Notices Iss,23-03-2005,31-01-2005,Permission,GRANT PERMISSION
3393/14,NULL,PROTECTED STRUCTURE:,16-09-2014,28  29  30 & 31 Flee,Decision Notices Iss,10-11-2014,16-09-2014,Permission,REFUSE PERMISSION
2753/17,20-07-2017,Part change of use o,21-04-2017,6-8  College Green a,Decision Notices Iss,14-06-2017,21-04-2017,Permission,GRANT PERMISSION
4685/03,07-01-2004,Replacement of exist,23-09-2003,6-8  College Green,Decision Notices Iss,17-11-2003,23-09-2003,Permission,GRANT PERMISSION
3494/17,25-10-2017,Amendment to a previ,24-07-2017,6-8  College Green /,Decision Notices Iss,13-09-2017,24-07-2017,Permission,GRANT PERMISSION
3050/14,08-10-2014,RETENTION:Change of,11-07-2014,Nos. 8/9 South Willi,Decision Notices Iss,01-09-2014,11-07-2014,Retention Permission,GRANT PERMISSION AND
4934/07,20-11-2007,Retention permission,23-08-2007,8/9  South William S,Decision Notices Iss,09-10-2007,23-08-2007,Permission,GRANT PERMISSION
4596/17,14-02-2019,RETENTION: PERMISSIO,21-12-2017,Dakota Bar and Grill,Appeal Decided,23-02-2018,21-12-2017,Retention Permission,SPLIT DECISION(PERMI
2988/12,25-10-2012,Change of use from o,27-07-2012,Block C  5-8  Magenn,Decision Notices Iss,13-09-2012,27-07-2012,Permission,GRANT PERMISSION
3702/09,NULL,PROTECTED STRUCTURE,17-08-2009,65-66  Gardiner Stre,Decision Notices Iss,21-09-2009,17-08-2009,Permission,APPLICATION DECLARED
3961/09,05-01-2010,PROTECTED: change of,24-09-2009,65-66  Lower Gardine,Decision Notices Iss,18-11-2009,24-09-2009,Permission,GRANT PERMISSION
2243/04,11-10-2004,Change existing wind,19-07-2004,Judge Roy Beans Bar,Decision Appealed,03-09-2004,19-07-2004,Permission,GRANT PERMISSION
5412/08,NULL,Protected structure:,19-12-2008,Arnotts  Retail Unit,Decision Notices Iss,12-01-2009,19-12-2008,Permission,APPLICATION DECLARED
2146/09,20-04-2009,PROTECTED STRUCTURE,26-01-2009,Arnotts  Retail Unit,Decision Notices Iss,10-03-2009,26-01-2009,Permission,GRANT PERMISSION
3409/10,23-11-2010,PROTECTED STRUCTURE-,13-08-2010,The Jervis Centre  1,Decision Notices Iss,07-10-2010,13-08-2010,Permission,GRANT PERMISSION
1986/08,05-09-2008,Permission for vario,18-03-2008,Retail Unit no 1  (f,Decision Notices Iss,28-07-2008,04-07-2008,Permission,GRANT PERMISSION
4510/08,NULL,Demolition of existi,23-09-2008,29-31  Lombard Stree,NULL,01-10-2008,23-09-2008,Permission,APPLICATION DECLARED
1064/04,07-04-2004,Alterations to an ap,09-01-2004,22  Strand Street Gr,Decision Appealed,17-02-2004,09-01-2004,Permission,GRANT PERMISSION
2126/13,19-08-2013,The amalgamation of,05-02-2013,Unit 5A  Ground Floo,Appeal Decided,15-03-2013,05-02-2013,Permission,GRANT PERMISSION
5717/04,NULL,PROT STRUCrefurbishm,07-12-2004,33 & 34  Gardiner St,Decision Notices Iss,20-12-2004,07-12-2004,Permission,APPLICATION DECLARED
1828/03,NULL,3 storey extension t,24-04-2003,33/34  Gardiner Stre,Managers Order,NULL,24-04-2003,Permission,APPLICATION WITHDRAW
2708/15,07-08-2015,PROTECTED STRUCTURE:,01-05-2015,Former Tara Street F,Decision Notices Iss,25-06-2015,01-05-2015,Permission,GRANT PERMISSION
1360/07,05-07-2007,PROTECTED STRUCTURE-,29-01-2007,Church of the Most H,Decision Notices Iss,22-05-2007,25-04-2007,Permission,GRANT PERMISSION
3029/15,NULL,New shop front signa,17-06-2015,47 & 48  Talbot Stre,Decision Notices Iss,16-07-2015,17-06-2015,Permission,APPLICATION DECLARED
2384/17,07-06-2017,Permission for insta,02-03-2017,47 & 48  Talbot Stre,Decision Notices Iss,26-04-2017,02-03-2017,Permission,GRANT PERMISSION
2596/14,12-11-2014,Change of use of exi,28-04-2014,47 & 48  Talbot Stre,Appeal Decided,19-06-2014,28-04-2014,Permission,REFUSE PERMISSION
3288/15,27-10-2015,Proposed Shop Front,23-07-2015,47 & 48  Talbot Stre,Decision Notices Iss,10-09-2015,23-07-2015,Permission,GRANT PERMISSION
2400/14,NULL,Change of use of exi,21-03-2014,47 & 48  Talbot Stre,Decision Notices Iss,14-04-2014,21-03-2014,Permission,APPLICATION DECLARED
4506/05,24-11-2005,3 No. new internal ",26-08-2005,Unit  1&2  Ilac Cent,Decision Appealed,19-10-2005,26-08-2005,Permission,GRANT PERMISSION
2546/04,26-07-2004,2 No. awnings over e,26-04-2004,Dakota Bar  8/9  Wil,Decision Appealed,14-06-2004,26-04-2004,Permission,GRANT PERMISSION
4636/07,NULL,RETENTION: An extern,02-08-2007,8/9  William Street,Decision Notices Iss,17-08-2007,02-08-2007,Permission,APPLICATION DECLARED
2373/05,NULL,revision to the exis,14-04-2005,8/9  William Street,Decision Notices Iss,08-06-2005,14-04-2005,Permission,REFUSE PERMISSION
3741/08,22-10-2008,RETENTION: An outdoo,22-07-2008,8/9  William Street,Decision Notices Iss,11-09-2008,22-07-2008,Retention Permission,GRANT RETENTION PERM
3629/18,31-01-2019,Change of use of int,01-08-2018,The Townhall  1 Wind,Appeal Decided,25-09-2018,01-08-2018,Permission,GRANT PERMISSION
2897/14,19-09-2014,The installation of,18-06-2014,6-8  Wicklow Street,Decision Notices Iss,11-08-2014,18-06-2014,Retention Permission,GRANT RETENTION PERM
2474/14,NULL,Installation of a ne,03-04-2014,6-8  Wicklow Street,Decision Notices Iss,07-05-2014,03-04-2014,Permission,APPLICATION DECLARED
4305/16,NULL,The development will,09-12-2016,No.s 1-5 D'Olier Str,Decision Notices Iss,05-04-2017,10-03-2017,Permission,REFUSE PERMISSION
2843/19,NULL,Permission for devel,24-04-2019,35/36  Abbey Street,Decision Notices Iss,03-05-2019,24-04-2019,Permission,APPLICATION DECLARED
3363/08,25-09-2008,Demolition of existi,25-06-2008,35/36  Abbey Street,Decision Notices Iss,13-08-2008,25-06-2008,Permission,GRANT PERMISSION
2954/18,07-08-2018,Permission for devel,09-05-2018,35/36  Abbey Street,Decision Notices Iss,29-06-2018,09-05-2018,Permission,GRANT PERMISSION
2971/17,07-03-2018,Permission to demoli,22-05-2017,35/36  Abbey Street,Appeal Decided,14-07-2017,22-05-2017,Permission,REFUSE PERMISSION
2928/19,NULL,Permission for devel,07-05-2019,35/36  Abbey Street,Registered applicati,NULL,07-05-2019,Permission,NULL
3114/08,NULL,Demolish existing pr,06-06-2008,35/36  Abbey Street,Decision Notices Iss,17-06-2008,06-06-2008,Permission,APPLICATION DECLARED
4267/04,12-11-2004,(a) a lift shaft fro,23-08-2004,Unit 1/2 and over Un,Decision Appealed,06-10-2004,23-08-2004,Permission,GRANT PERMISSION
4380/03,09-12-2003,New shop front  sign,09-09-2003,43  O'Connell Street,Decision Appealed,31-10-2003,09-09-2003,Permission,GRANT PERMISSION
0826/03,NULL,PROTECTED STRUCTURE,28-02-2003,90 - 93  Marlborough,Decision Notices Iss,16-04-2003,28-02-2003,Permission,ADDITIONAL INFORMATI
3637/16,06-12-2016,Permission for a cha,02-09-2016,14-15  Trinity Stree,Decision Notices Iss,25-10-2016,02-09-2016,Permission,GRANT PERMISSION
WEB1028/11,NULL,Permission is sought,17-02-2011,Unit 1-2  Ilac Centr,Decision Notices Iss,25-02-2011,17-02-2011,Permission,APPLICATION DECLARED
2972/13,31-10-2013,PROTECTED STRUCTURE:,22-07-2013,45-48  Temple Bar  &,Appeal Decided,10-09-2013,22-07-2013,Permission,GRANT PERMISSION
3426/14,NULL,PROTECTED STRUCTURE:,24-09-2014,The Locksmith Apartm,Decision Notices Iss,14-11-2014,24-09-2014,Retention Permission,REFUSE RETENTION PER
3439/05,20-01-2006,PROTECTED STRUCTURE,21-06-2005,17 - 19  Sycamore St,Decision Notices Iss,08-12-2005,16-11-2005,Permission,GRANT PERMISSION
2623/06,24-10-2006,Alterations to 2 no.,24-04-2006,37-38  Henry Street,Decision Notices Iss,18-09-2006,22-08-2006,Permission,GRANT PERMISSION
2931/09,10-08-2009,Minor revisions to p,01-05-2009,41  O'Connell Street,Decision Notices Iss,24-06-2009,01-05-2009,Permission,GRANT PERMISSION
2615/18,28-09-2018,Amendments to previo,29-03-2018,Units 3A & 3B Trinit,Decision Notices Iss,24-08-2018,30-07-2018,Permission,GRANT PERMISSION
2875/13,07-10-2013,Alterations and part,04-07-2013,Physics Laboratory,Decision Notices Iss,27-08-2013,04-07-2013,Permission,GRANT PERMISSION
3891/04,26-10-2004,amendment in part to,26-07-2004,Dunnes Stores & Dunn,Decision Appealed,17-09-2004,26-07-2004,Permission,GRANT PERMISSION
4691/07,23-10-2007,Temporary banner to,07-08-2007,Project Arts Centre,Decision Notices Iss,12-09-2007,07-08-2007,Permission,GRANT PERMISSION
2468/06,12-07-2006,installation of a ne,13-04-2006,17-19  Sycamore Stre,Decision Appealed,06-06-2006,13-04-2006,Permission,GRANT PERMISSION
4144/10,04-04-2011,Temporary (3 year) c,14-12-2010,1st  2nd & 3rd Floor,Decision Notices Iss,16-02-2011,14-12-2010,Permission,GRANT PERMISSION
3699/15,NULL,RETENTION:Change of,25-09-2015,Wicklow House  Fifth,Decision Notices Iss,28-10-2015,25-09-2015,Permission,APPLICATION DECLARED
3983/18,19-12-2018,RETENTION: Change of,21-09-2018,No. 31-33 Tara Stree,Decision Notices Iss,15-11-2018,21-09-2018,Retention Permission,GRANT PERMISSION AND
4268/04,19-11-2004,change of use of pre,23-08-2004,66-67  Great George',Decision Notices Iss,14-10-2004,23-08-2004,Permission,GRANT PERMISSION
6207/06,03-07-2007,change of use of 47s,23-11-2006,66/67  South Great G,Appeal Decided,26-01-2007,23-11-2006,Permission,REFUSE PERMISSION
5894/06,NULL,Change of use from r,03-11-2006,66&67  Great Georges,Decision Notices Iss,20-11-2006,03-11-2006,Permission,APPLICATION DECLARED
2524/16,30-09-2016,The development will,21-03-2016,Brasserie Sixty 6  6,Decision Notices Iss,23-08-2016,27-07-2016,Permission,GRANT PERMISSION
2397/04,19-07-2004,Development to exisi,15-04-2004,Foko  66/67  South G,Decision Appealed,04-06-2004,15-04-2004,Permission,GRANT PERMISSION
2491/13,16-09-2013,Installation of mech,19-04-2013,66-67  South Great G,Decision Notices Iss,07-08-2013,12-07-2013,Permission,GRANT PERMISSION
2752/17,28-07-2017,The development will,21-04-2017,66  South Great Geor,Decision Notices Iss,15-06-2017,21-04-2017,Retention Permission,GRANT RETENTION PERM
2245/07,26-06-2007,Change of use of 47s,20-03-2007,66/67  South Great G,Decision Appealed,11-05-2007,20-03-2007,Permission,GRANT PERMISSION
2096/03,NULL,Permanent finish to,08-05-2003,Dept. of Mechanical,Decision Notices Iss,02-07-2003,08-05-2003,Permission,ADDITIONAL INFORMATI
2515/04,10-12-2004,modifications and in,23-04-2004,Mabbot Lane  To The,Decision Appealed,04-11-2004,08-10-2004,Permission,GRANT PERMISSION
2167/19,NULL,PROTECTED STRUCTURE:,01-02-2019,Fumbally Exchange  5,Decision Notices Iss,24-05-2019,29-04-2019,Permission,GRANT PERMISSION
3176/10,NULL,PROTECTED STRUCTURE,12-07-2010,Ground floor  35  Ab,Appeal Decided,23-08-2010,12-07-2010,Permission,REFUSE PERMISSION
